BFSNR	Name	Bild	Claim
1301	Einsiedeln	stacks_image_97.jpg	im Kloster werde ich schwach
1311	Gersau	nahe-241.jpg	nie mehr ersauern in Bern
1321	Feusisberg	stacks_image_97.jpg	Feusi am Berg?
1322	Freienbach	nahe-241.jpg	Sed ut perspiciatis unde omnis iste natus 
1323	Wollerau	stacks_image_97.jpg	error sit voluptatem accusantium doloremque 
1331	Küssnacht	nahe-241.jpg	laudantium, totam rem aperiam, eaque ipsa quae 
1341	Altendorf	stacks_image_97.jpg	ab illo inventore veritatis et quasi architecto 
1342	Galgenen	nahe-241.jpg	beatae vitae dicta sunt explicabo. Nemo enim 
1343	Innerthal	stacks_image_97.jpg	ipsam voluptatem quia voluptas sit aspernatur 
1344	Lachen	nahe-241.jpg	aut odit aut fugit, sed quia consequuntur magni 
1345	Reichenburg	stacks_image_97.jpg	dolores eos qui ratione voluptatem sequi nesciunt. 
1346	Schübelbach	nahe-241.jpg	Neque porro quisquam est, qui dolorem ipsum quia 
1347	Tuggen	stacks_image_97.jpg	dolor sit amet, consectetur, adipisci velit, sed 
1348	Vorderthal	nahe-241.jpg	quia non numquam eius modi tempora incidunt ut 
1349	Wangen	stacks_image_97.jpg	labore et dolore magnam aliquam quaerat voluptatem. 
1361	Alpthal	schneeverschneite-mythen.jpg	Ut enim ad minima veniam, quis nostrum exercitationem 
1362	Arth	stacks_image_97.jpg	ullam corporis suscipit laboriosam, nisi ut aliquid 
1363	Illgau	nahe-241.jpg	ex ea commodi consequatur? Quis autem vel eum iure 
1364	Ingenbohl	stacks_image_97.jpg	reprehenderit qui in ea voluptate velit esse 
1365	Lauerz	nahe-241.jpg	quam nihil molestiae consequatur, vel illum qui 
1366	Morschach	stacks_image_97.jpg	dolorem eum fugiat quo voluptas nulla pariatur?
1367	Muotathal	stacks_image_93.jpg	Sed ut perspiciatis unde omnis iste natus 
1368	Oberiberg	stacks_image_97.jpg	error sit voluptatem accusantium doloremque 
1369	Riemenstalden	nahe-241.jpg	laudantium, totam rem aperiam, eaque ipsa quae 
1370	Rothenthurm	stacks_image_97.jpg	ab illo inventore veritatis et quasi architecto 
1371	Sattel	nahe-241.jpg	beatae vitae dicta sunt explicabo. Nemo enim 
1372	Schwyz	stacks_image_97.jpg	ipsam voluptatem quia voluptas sit aspernatur 
1373	Steinen	nahe-241.jpg	aut odit aut fugit, sed quia consequuntur magni 
1374	Steinerberg	stacks_image_97.jpg	dolores eos qui ratione voluptatem sequi nesciunt. 
1375	Unteriberg	nahe-241.jpg	Neque porro quisquam est, qui dolorem ipsum quia 
